Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Daiva";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Dalia";.;.;.;.;.;.;.;.;5;.;6;5;.;6;7;7;4;.;.;7;4;4
"Dana";.;.;4;8;6;.;..;..;7;7;5;.;5;.;.;5;..;5;4;7;7;.
"Daniela";5;6;8;6;10;14;11;11;13;15;11;7;4;5;8;.;5;12;..;6;7;5
"Daniella";4;..;9;7;10;17;9;16;12;15;13;20;18;13;10;18;10;15;10;11;7;8
"Danuta";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Daria";19;7;8;4;6;8;6;6;4;5;7;6;5;7;4;6;4;7;8;7;.;6
"Deborah";6;.;5;.;5;4;5;.;5;.;.;4;6;5;.;.;6;.;4;.;.;.
"Desiree";8;8;7;7;.;.;.;.;.;.;4;.;.;.;4;.;.;.;.;.;.;.
"Diana";19;18;15;17;15;22;21;17;21;21;8;13;16;17;16;16;25;22;23;31;26;26
"Dina";55;55;73;84;137;133;133;104;98;88;101;79;71;69;54;32;42;46;31;28;28;26
"Dominika";12;6;13;12;6;8;7;6;8;5;5;.;.;.;.;..;.;.;.;.;.;.
"Doris";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Dorota";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Dorthe";8;13;24;21;12;13;10;.;10;7;.;5;6;4;5;4;.;.;.;.;.;.
"Dorthea";11;.;8;13;9;13;4;9;12;13;.;12;4;4;5;5;5;10;.;.;8;.
"Ea";.;.;.;.;4;.;10;10;8;4;11;11;9;18;24;20;21;24;28;30;15;16
"Ebba";6;11;.;10;10;13;7;16;22;18;14;20;35;19;31;26;34;37;32;47;56;66
"Edda";6;6;.;5;8;.;6;4;.;9;.;5;8;4;.;13;8;6;8;10;13;8
"Edel";9;12;11;6;11;9;8;8;10;11;9;9;7;13;15;14;12;15;7;8;12;8
"Eden";4;5;.;.;.;4;.;4;4;6;4;5;.;6;.;.;.;.;.;.;.;.
"Edit";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Edita";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Edith";.;.;.;.;7;6;8;9;7;10;6;8;16;14;17;16;15;20;26;20;16;23
"Edle";5;.;.;.;4;5;.;5;.;.;.;.;5;6;4;.;.;.;4;.;.;.
"Edna";.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Edyta";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Egle";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eileen";8;9;7;9;6;4;4;8;5;4;5;11;5;.;6;.;.;6;11;9;6;5
"Eilen";.;5;.;5;4;4;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eilin";4;.;5;5;4;4;6;5;5;4;.;6;.;.;4;.;..;.;.;.;.;.
"Eir";.;.;6;5;6;8;5;8;7;9;14;11;7;12;16;11;10;15;12;7;14;11
"Eira";18;21;24;12;22;32;21;27;36;35;47;60;60;50;66;66;51;61;65;69;66;81
"Eiril";.;.;4;4;.;9;5;4;8;11;16;9;7;9;14;31;20;23;25;24;13;22
"Eirill";4;7;5;7;7;7;4;4;7;6;5;11;6;9;7;14;5;10;4;9;5;6
"Eirin";72;66;57;55;47;41;55;35;28;36;28;19;27;24;28;18;13;15;8;21;9;12
"Eivor";4;7;6;4;6;10;7;12;5;8;7;9;9;21;16;14;8;15;20;10;20;20
"Ekaterina";.;.;.;.;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Elbj�rg";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eldbj�rg";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eldrid";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8;.;.;.;.;.
"Elea";.;.;.;.;.;.;.;.;12;14;10;6;12;15;17;19;19;23;20;34;48;39
"Elen";5;6;8;6;5;5;9;5;6;.;.;7;8;.;.;6;.;.;5;.;.;.
"Elena";25;41;30;28;28;30;29;32;40;40;45;34;38;47;61;51;63;52;56;69;76;45
"Elfrid";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
